x,y,ratio
-5,-5,0.773866724
-2.368421053,-5,0.899391731
-2.368421053,-3.947368421,0.923358408
-2.368421053,-3.421052632,0.881987246
-2.368421053,-2.894736842,0.817531554
-2.368421053,-2.368421053,0.776265657
-2.368421053,-1.842105263,0.754022887
-2.368421053,-1.315789474,0.704657745
-2.368421053,-0.789473684,0.716520987
-2.368421053,-0.263157895,0.700103717
-5,0.263157895,0.933576341
-2.368421053,0.263157895,0.697412861
-2.368421053,0.789473684,0.705353012
-2.368421053,1.315789474,0.727677587
-2.368421053,1.842105263,0.748236191
-2.368421053,2.368421053,0.783879587
-2.368421053,2.894736842,0.833969466
-2.368421053,3.421052632,0.887880125
-2.368421053,3.947368421,0.944871094
-2.368421053,5,0.912036908
-5,0.789473684,0.928203415
-1.842105263,-5,0.911646792
-1.842105263,-3.947368421,0.916384616
-1.842105263,-3.421052632,0.844730251
-1.842105263,-2.894736842,0.783750185
-1.842105263,-2.368421053,0.739827337
-1.842105263,-1.842105263,0.709035809
-1.842105263,-1.315789474,0.674925385
-1.842105263,-0.789473684,0.647858503
-1.842105263,-0.263157895,0.638519059
-5,1.315789474,0.924029523
-1.842105263,0.263157895,0.649896266
-1.842105263,0.789473684,0.654066288
-1.842105263,1.315789474,0.688073236
-1.842105263,1.842105263,0.714599227
-1.842105263,2.368421053,0.747350551
-1.842105263,2.894736842,0.804768009
-1.842105263,3.421052632,0.868574707
-1.842105263,3.947368421,0.9269592
-1.842105263,5,0.922234201
-5,1.842105263,0.913282933
-1.315789474,-5,0.911062845
-1.315789474,-3.947368421,0.903599741
-1.315789474,-3.421052632,0.82235011
-1.315789474,-2.894736842,0.766736119
-1.315789474,-2.368421053,0.708197701
-1.315789474,-1.842105263,0.659181897
-1.315789474,-1.315789474,0.644733132
-1.315789474,-0.789473684,0.616685176
-1.315789474,-0.263157895,0.630816887
-5,2.368421053,0.914306825
-1.315789474,0.263157895,0.603275808
-1.315789474,0.789473684,0.631805677
-1.315789474,1.315789474,0.648931481
-1.315789474,1.842105263,0.67983279
-1.315789474,2.368421053,0.732878886
-1.315789474,2.894736842,0.787992068
-1.315789474,3.421052632,0.851163951
-1.315789474,3.947368421,0.923382219
-1.315789474,5,0.927501159
-5,2.894736842,0.887646095
-0.789473684,-5,0.909795265
-0.789473684,-3.947368421,0.910911839
-0.789473684,-3.421052632,0.820007621
-0.789473684,-2.894736842,0.753577438
-0.789473684,-2.368421053,0.686688428
-0.789473684,-1.842105263,0.646257222
-0.789473684,-1.315789474,0.622502726
-0.789473684,-0.789473684,0.592709551
-0.789473684,-0.263157895,0.578288678
-5,3.421052632,0.859055756
-0.789473684,0.263157895,0.582962836
-0.789473684,0.789473684,0.603468913
-0.789473684,1.315789474,0.628930946
-0.789473684,1.842105263,0.671183394
-0.789473684,2.368421053,0.710862457
-0.789473684,2.894736842,0.777119411
-0.789473684,3.421052632,0.839478413
-0.789473684,3.947368421,0.925217118
-0.789473684,5,0.931489433
-5,3.947368421,0.82351413
-0.263157895,-5,0.907602971
-0.263157895,-3.947368421,0.884977065
-0.263157895,-3.421052632,0.811962655
-0.263157895,-2.894736842,0.737371319
-0.263157895,-2.368421053,0.682793422
-0.263157895,-1.842105263,0.643211374
-0.263157895,-1.315789474,0.610122597
-0.263157895,-0.789473684,0.590568577
-0.263157895,-0.263157895,0.572841274
-5,4.473684211,0.790306109
-0.263157895,0.263157895,0.58418053
-0.263157895,0.789473684,0.584756717
-0.263157895,1.315789474,0.621181515
-0.263157895,1.842105263,0.643429571
-0.263157895,2.368421053,0.71412478
-0.263157895,2.894736842,0.766768631
-0.263157895,3.421052632,0.842692074
-0.263157895,3.947368421,0.928043599
-0.263157895,5,0.93161491
-5,5,0.781674428
-5,-4.473684211,0.808683725
0.263157895,-5,0.902658056
0.263157895,-3.947368421,0.881934205
0.263157895,-3.421052632,0.816511907
0.263157895,-2.894736842,0.741310298
0.263157895,-2.368421053,0.684731583
0.263157895,-1.842105263,0.639675014
0.263157895,-1.315789474,0.601881813
0.263157895,-0.789473684,0.604266693
0.263157895,-0.263157895,0.586748333
-4.473684211,-5,0.793384264
0.263157895,0.263157895,0.593015379
0.263157895,0.789473684,0.595170616
0.263157895,1.315789474,0.629283867
0.263157895,1.842105263,0.65967892
0.263157895,2.368421053,0.697333564
0.263157895,2.894736842,0.779118541
0.263157895,3.421052632,0.844973797
0.263157895,3.947368421,0.914270559
0.263157895,5,0.92301329
-4.473684211,-4.473684211,0.810559843
0.789473684,-5,0.899885266
0.789473684,-3.947368421,0.876432441
0.789473684,-3.421052632,0.804837876
0.789473684,-2.894736842,0.745078556
0.789473684,-2.368421053,0.689943844
0.789473684,-1.842105263,0.643697742
0.789473684,-1.315789474,0.610656602
0.789473684,-0.789473684,0.589939024
0.789473684,-0.263157895,0.612118086
-4.473684211,-3.947368421,0.852288811
0.789473684,0.263157895,0.593853952
0.789473684,0.789473684,0.609563357
0.789473684,1.315789474,0.647804151
0.789473684,1.842105263,0.665395228
0.789473684,2.368421053,0.710398616
0.789473684,2.894736842,0.774216883
0.789473684,3.421052632,0.847282746
0.789473684,3.947368421,0.919548265
0.789473684,5,0.928103661
-4.473684211,-3.421052632,0.884962351
1.315789474,-5,0.8923623
1.315789474,-3.947368421,0.8803008
1.315789474,-3.421052632,0.81593938
1.315789474,-2.894736842,0.761400401
1.315789474,-2.368421053,0.710178352
1.315789474,-1.842105263,0.664114282
1.315789474,-1.315789474,0.645149595
1.315789474,-0.789473684,0.61881588
1.315789474,-0.263157895,0.62058105
1.315789474,0.263157895,0.619028007
1.315789474,0.789473684,0.640337739
1.315789474,1.315789474,0.675603353
1.315789474,1.842105263,0.693962475
1.315789474,2.368421053,0.730221626
1.315789474,2.894736842,0.788902589
1.315789474,3.421052632,0.851992455
1.315789474,3.947368421,0.92474876
1.315789474,5,0.9310543
1.842105263,-5,0.872422464
1.842105263,-3.947368421,0.899901466
1.842105263,-3.421052632,0.830073406
1.842105263,-2.894736842,0.773643012
1.842105263,-2.368421053,0.733418133
1.842105263,-1.842105263,0.706365472
1.842105263,-1.315789474,0.685126326
1.842105263,-0.789473684,0.673662565
1.842105263,-0.263157895,0.666791152
1.842105263,0.263157895,0.669190497
1.842105263,0.789473684,0.673323645
1.842105263,1.315789474,0.696367336
1.842105263,1.842105263,0.734090532
1.842105263,2.368421053,0.757359048
1.842105263,2.894736842,0.799401508
1.842105263,3.421052632,0.857261295
1.842105263,3.947368421,0.91783206
1.842105263,5,0.921750335
2.368421053,-5,0.863325218
2.368421053,-3.947368421,0.902879675
2.368421053,-3.421052632,0.844334898
2.368421053,-2.894736842,0.801571293
2.368421053,-2.368421053,0.771734117
2.368421053,-1.842105263,0.749601392
2.368421053,-1.315789474,0.728673158
2.368421053,-0.789473684,0.730366784
2.368421053,-0.263157895,0.714180617
2.368421053,0.263157895,0.729700883
2.368421053,0.789473684,0.734350548
2.368421053,1.315789474,0.742361079
2.368421053,1.842105263,0.762479058
2.368421053,2.368421053,0.7870543
2.368421053,2.894736842,0.835189127
2.368421053,3.421052632,0.891093187
2.368421053,3.947368421,0.949879792
2.368421053,5,0.911451461
-5,-3.947368421,0.814072343
2.894736842,-5,0.852542649
2.894736842,-4.473684211,0.882959616
2.894736842,-3.421052632,0.886071979
2.894736842,-2.894736842,0.842182738
2.894736842,-2.368421053,0.815394064
2.894736842,-1.842105263,0.795891406
2.894736842,-1.315789474,0.782449146
2.894736842,-0.789473684,0.782606832
2.894736842,-0.263157895,0.784132459
2.894736842,0.263157895,0.767574595
2.894736842,0.789473684,0.791596854
2.894736842,1.315789474,0.780445193
2.894736842,1.842105263,0.812008251
2.894736842,2.368421053,0.838845817
2.894736842,2.894736842,0.875134417
2.894736842,3.421052632,0.926680984
2.894736842,4.473684211,0.935685038
2.894736842,5,0.890123079
3.421052632,-5,0.861942241
3.421052632,-4.473684211,0.884448974
3.421052632,-2.894736842,0.886784259
3.421052632,-2.368421053,0.863517535
3.421052632,-1.842105263,0.849185504
3.421052632,-1.315789474,0.857034341
3.421052632,-0.789473684,0.860951316
3.421052632,-0.263157895,0.856670716
3.421052632,0.263157895,0.851424484
3.421052632,0.789473684,0.846066258
3.421052632,1.315789474,0.863379011
3.421052632,1.842105263,0.871918034
3.421052632,2.368421053,0.89033079
3.421052632,2.894736842,0.918013318
3.421052632,4.473684211,0.895610126
3.421052632,5,0.868874232
3.947368421,-5,0.891847461
3.947368421,-4.473684211,0.911116097
3.947368421,-3.947368421,0.923642465
3.947368421,-2.894736842,0.92708582
3.947368421,-2.368421053,0.925571174
3.947368421,-1.842105263,0.926307525
3.947368421,-1.315789474,0.921343574
3.947368421,-0.789473684,0.925839833
3.947368421,-0.263157895,0.926611268
3.947368421,0.263157895,0.921579894
3.947368421,0.789473684,0.924982114
3.947368421,1.315789474,0.918795789
3.947368421,1.842105263,0.928219541
3.947368421,2.368421053,0.950353825
3.947368421,2.894736842,0.967308648
3.947368421,3.947368421,0.911397501
3.947368421,4.473684211,0.864635241
3.947368421,5,0.831707796
-4.473684211,3.421052632,
4.473684211,3.421052632,1.12621988
4.473684211,3.947368421,0.632750127
4.473684211,4.473684211,0.659255712
4.473684211,5,0.622444486
-4.473684211,3.947368421,1.119396814
5,-5,2.67653768
5,-4.473684211,0.999806292
5,-3.947368421,0.912326667
5,-3.421052632,0.898860837
5,-2.894736842,0.906479657
5,-2.368421053,0.895616706
5,-1.842105263,0.905211229
5,-1.315789474,0.909887263
5,-0.789473684,0.913697731
5,-0.263157895,0.914267784
-4.473684211,4.473684211,0.251692281
5,0.263157895,2.967956345
5,0.789473684,0.91297475
5,1.315789474,0.878000538
5,1.842105263,0.803129097
5,2.368421053,0.792343988
5,2.894736842,0.715438202
5,3.421052632,0.679586125
5,3.947368421,0.660998342
5,4.473684211,0.673769734
5,5,0.684609561
-4.473684211,5,0.749731392
-5,-3.421052632,1.060316587
-3.947368421,-5,0.639673035
-3.947368421,-4.473684211,1.147748669
-3.947368421,-3.947368421,1.306843533
-3.947368421,-2.894736842,1.289187381
-3.947368421,-2.368421053,0.777790866
-3.947368421,-1.842105263,0.831328114
-3.947368421,-1.315789474,0.845271387
-3.947368421,-0.789473684,0.886773828
-3.947368421,-0.263157895,0.928258869
-5,-2.894736842,0.793296795
-3.947368421,0.263157895,1.036064402
-3.947368421,0.789473684,0.92186801
-3.947368421,1.315789474,0.958034912
-3.947368421,1.842105263,1.026246051
-3.947368421,2.368421053,1.05933455
-3.947368421,2.894736842,1.198399876
-3.947368421,3.947368421,0.701120181
-3.947368421,4.473684211,0.598526883
-3.947368421,5,0.611014837
-5,-2.368421053,1.507030576
-3.421052632,-5,0.522310513
-3.421052632,-4.473684211,1.286102235
-3.421052632,-2.894736842,0.913810012
-3.421052632,-2.368421053,0.77911734
-3.421052632,-1.842105263,0.767914358
-3.421052632,-1.315789474,0.773014646
-3.421052632,-0.789473684,0.757757808
-3.421052632,-0.263157895,0.813333482
-5,-1.842105263,1.821735479
-3.421052632,0.263157895,0.43196258
-3.421052632,0.789473684,0.882737694
-3.421052632,1.315789474,0.952078726
-3.421052632,1.842105263,0.966480021
-3.421052632,2.368421053,0.996541633
-3.421052632,2.894736842,1.055915625
-3.421052632,4.473684211,0.94460852
-3.421052632,5,0.596665028
-5,-1.315789474,1.608722862
-2.894736842,-5,0.511427442
-2.894736842,-4.473684211,1.54327533
-2.894736842,-3.421052632,0.621429137
-2.894736842,-2.894736842,0.726056024
-2.894736842,-2.368421053,0.727709942
-2.894736842,-1.842105263,0.705646922
-2.894736842,-1.315789474,0.710685674
-2.894736842,-0.789473684,0.71885611
-2.894736842,-0.263157895,0.712549713
-5,-0.789473684,2.786478642
-2.894736842,0.263157895,0.256045797
-2.894736842,0.789473684,0.851007989
-2.894736842,1.315789474,0.860431844
-2.894736842,1.842105263,0.900442112
-2.894736842,2.368421053,0.967100754
-2.894736842,2.894736842,1.012276297
-2.894736842,3.421052632,1.116376899
-2.894736842,4.473684211,1.417898116
-2.894736842,5,0.536991436
-5,-0.263157895,1.329568831
